construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4
1721	cut	cap	first	R-MAT.500.25.15.gexf	500	9682	2	1	[120, 120, 120, 120]	244	202	202.0	inf	13	0	0	0	0	[244.0, 202.0]	R-MAT	500	25	15	gexf
1722	cut	cap	first	R-MAT.500.25.15.gexf	500	9682	3	2	[120, 120, 120, 120]	244	192	192.0	inf	107	0	0	0	0	[244.0, 192.0]	R-MAT	500	25	15	gexf
1723	cut	cap	first	R-MAT.500.25.15.gexf	500	9682	5	3	[120, 120, 120, 120]	244	175	175.0	inf	26	0	0	0	0	[244.0, 175.0]	R-MAT	500	25	15	gexf
1724	cut	cap	first	R-MAT.500.25.15.gexf	500	9682	10	4	[120, 120, 120, 120]	244	146	146.0	inf	63	0	0	0	0	[244.0, 146.0]	R-MAT	500	25	15	gexf
1725	cut	cap	first	R-MAT.500.25.15.gexf	500	9682	50	5	[120, 120, 120, 120]	244	70	70.0	inf	111	0	0	0	0	[244.0, 70.0]	R-MAT	500	25	15	gexf
1726	cut	cap	first	R-MAT.500.5.16.gexf	500	2320	2	1	[28, 28, 28, 28]	37	31	31.0	inf	182	0	0	0	0	[37.0, 31.0]	R-MAT	500	5	16	gexf
1727	cut	cap	first	R-MAT.500.5.16.gexf	500	2320	3	2	[28, 28, 28, 28]	37	29	29.0	inf	243	0	0	0	0	[37.0, 29.0]	R-MAT	500	5	16	gexf
1728	cut	cap	first	R-MAT.500.5.16.gexf	500	2320	5	3	[28, 28, 28, 28]	37	25	25.0	inf	258	0	0	0	0	[37.0, 25.0]	R-MAT	500	5	16	gexf
1729	cut	cap	first	R-MAT.500.5.16.gexf	500	2320	10	4	[28, 28, 28, 28]	37	18	18.0	inf	420	0	0	0	0	[37.0, 18.0]	R-MAT	500	5	16	gexf
1731	cut	cap	first	R-MAT.500.10.16.gexf	500	4362	2	1	[60, 60, 60, 60]	108	83	83.0	inf	33	0	0	0	0	[108.0, 83.0]	R-MAT	500	10	16	gexf
1732	cut	cap	first	R-MAT.500.10.16.gexf	500	4362	3	2	[60, 60, 60, 60]	108	79	79.0	inf	81	0	0	0	0	[108.0, 79.0]	R-MAT	500	10	16	gexf
1733	cut	cap	first	R-MAT.500.10.16.gexf	500	4362	5	3	[60, 60, 60, 60]	108	73	73.0	inf	102	0	0	0	0	[108.0, 73.0]	R-MAT	500	10	16	gexf
1734	cut	cap	first	R-MAT.500.10.16.gexf	500	4362	10	4	[60, 60, 60, 60]	108	59	59.0	inf	145	0	0	0	0	[108.0, 59.0]	R-MAT	500	10	16	gexf
1735	cut	cap	first	R-MAT.500.10.16.gexf	500	4362	50	5	[60, 60, 60, 60]	108	10	10.0	inf	244	0	0	0	0	[108.0, 10.0]	R-MAT	500	10	16	gexf
1736	cut	cap	first	R-MAT.500.25.16.gexf	500	9705	2	1	[133, 133, 133, 133]	256	225	225.0	inf	15	0	0	0	0	[256.0, 225.0]	R-MAT	500	25	16	gexf
1737	cut	cap	first	R-MAT.500.25.16.gexf	500	9705	3	2	[133, 133, 133, 133]	256	215	215.0	inf	16	0	0	0	0	[256.0, 215.0]	R-MAT	500	25	16	gexf
1738	cut	cap	first	R-MAT.500.25.16.gexf	500	9705	5	3	[133, 133, 133, 133]	256	199	199.0	inf	106	0	0	0	0	[256.0, 199.0]	R-MAT	500	25	16	gexf
1739	cut	cap	first	R-MAT.500.25.16.gexf	500	9705	10	4	[133, 133, 133, 133]	256	175	175.0	inf	106	0	0	0	0	[256.0, 175.0]	R-MAT	500	25	16	gexf
1740	cut	cap	first	R-MAT.500.25.16.gexf	500	9705	50	5	[133, 133, 133, 133]	256	83	83.0	inf	109	0	0	0	0	[256.0, 83.0]	R-MAT	500	25	16	gexf
1741	cut	cap	first	R-MAT.500.5.17.gexf	500	2309	2	1	[38, 38, 38, 38]	45	38	38.0	inf	180	0	0	0	0	[45.0, 38.0]	R-MAT	500	5	17	gexf
1742	cut	cap	first	R-MAT.500.5.17.gexf	500	2309	3	2	[38, 38, 38, 38]	45	36	36.0	inf	249	0	0	0	0	[45.0, 36.0]	R-MAT	500	5	17	gexf
1743	cut	cap	first	R-MAT.500.5.17.gexf	500	2309	5	3	[38, 38, 38, 38]	45	33	33.0	inf	408	0	0	0	0	[45.0, 33.0]	R-MAT	500	5	17	gexf
1744	cut	cap	first	R-MAT.500.5.17.gexf	500	2309	10	4	[38, 38, 38, 38]	45	28	28.0	inf	414	0	0	0	0	[45.0, 28.0]	R-MAT	500	5	17	gexf
1746	cut	cap	first	R-MAT.500.10.17.gexf	500	4352	2	1	[63, 63, 63, 63]	106	81	81.0	inf	44	0	0	0	0	[106.0, 81.0]	R-MAT	500	10	17	gexf
1747	cut	cap	first	R-MAT.500.10.17.gexf	500	4352	3	2	[63, 63, 63, 63]	106	74	74.0	inf	232	0	0	0	0	[106.0, 74.0]	R-MAT	500	10	17	gexf
1748	cut	cap	first	R-MAT.500.10.17.gexf	500	4352	5	3	[63, 63, 63, 63]	106	68	68.0	inf	142	0	0	0	0	[106.0, 68.0]	R-MAT	500	10	17	gexf
1749	cut	cap	first	R-MAT.500.10.17.gexf	500	4352	10	4	[63, 63, 63, 63]	106	58	58.0	inf	176	0	0	0	0	[106.0, 58.0]	R-MAT	500	10	17	gexf
1750	cut	cap	first	R-MAT.500.10.17.gexf	500	4352	50	5	[63, 63, 63, 63]	106	13	13.0	inf	242	0	0	0	0	[106.0, 13.0]	R-MAT	500	10	17	gexf
1751	cut	cap	first	R-MAT.500.25.17.gexf	500	9671	2	1	[137, 137, 137, 137]	254	210	210.0	inf	13	0	0	0	0	[254.0, 210.0]	R-MAT	500	25	17	gexf
1752	cut	cap	first	R-MAT.500.25.17.gexf	500	9671	3	2	[137, 137, 137, 137]	254	203	203.0	inf	26	0	0	0	0	[254.0, 203.0]	R-MAT	500	25	17	gexf
1753	cut	cap	first	R-MAT.500.25.17.gexf	500	9671	5	3	[137, 137, 137, 137]	254	190	190.0	inf	30	0	0	0	0	[254.0, 190.0]	R-MAT	500	25	17	gexf
1754	cut	cap	first	R-MAT.500.25.17.gexf	500	9671	10	4	[137, 137, 137, 137]	254	167	167.0	inf	75	0	0	0	0	[254.0, 167.0]	R-MAT	500	25	17	gexf
1755	cut	cap	first	R-MAT.500.25.17.gexf	500	9671	50	5	[137, 137, 137, 137]	254	87	87.0	inf	112	0	0	0	0	[254.0, 87.0]	R-MAT	500	25	17	gexf
1756	cut	cap	first	R-MAT.500.5.18.gexf	500	2331	2	1	[38, 38, 38, 38]	64	54	54.0	inf	139	0	0	0	0	[64.0, 54.0]	R-MAT	500	5	18	gexf
1757	cut	cap	first	R-MAT.500.5.18.gexf	500	2331	3	2	[38, 38, 38, 38]	64	50	50.0	inf	137	0	0	0	0	[64.0, 50.0]	R-MAT	500	5	18	gexf
1758	cut	cap	first	R-MAT.500.5.18.gexf	500	2331	5	3	[38, 38, 38, 38]	64	42	42.0	inf	163	0	0	0	0	[64.0, 42.0]	R-MAT	500	5	18	gexf
1759	cut	cap	first	R-MAT.500.5.18.gexf	500	2331	10	4	[38, 38, 38, 38]	64	30	30.0	inf	247	0	0	0	0	[64.0, 30.0]	R-MAT	500	5	18	gexf
1761	cut	cap	first	R-MAT.500.10.18.gexf	500	4340	2	1	[63, 63, 63, 63]	100	84	84.0	inf	66	0	0	0	0	[100.0, 84.0]	R-MAT	500	10	18	gexf
1762	cut	cap	first	R-MAT.500.10.18.gexf	500	4340	3	2	[63, 63, 63, 63]	100	78	78.0	inf	67	0	0	0	0	[100.0, 78.0]	R-MAT	500	10	18	gexf
1763	cut	cap	first	R-MAT.500.10.18.gexf	500	4340	5	3	[63, 63, 63, 63]	100	70	70.0	inf	120	0	0	0	0	[100.0, 70.0]	R-MAT	500	10	18	gexf
1764	cut	cap	first	R-MAT.500.10.18.gexf	500	4340	10	4	[63, 63, 63, 63]	100	59	59.0	inf	141	0	0	0	0	[100.0, 59.0]	R-MAT	500	10	18	gexf
1765	cut	cap	first	R-MAT.500.10.18.gexf	500	4340	50	5	[63, 63, 63, 63]	100	13	13.0	inf	241	0	0	0	0	[100.0, 13.0]	R-MAT	500	10	18	gexf
1766	cut	cap	first	R-MAT.500.25.18.gexf	500	9683	2	1	[128, 128, 128, 128]	257	218	218.0	inf	13	0	0	0	0	[257.0, 218.0]	R-MAT	500	25	18	gexf
1767	cut	cap	first	R-MAT.500.25.18.gexf	500	9683	3	2	[128, 128, 128, 128]	257	208	208.0	inf	26	0	0	0	0	[257.0, 208.0]	R-MAT	500	25	18	gexf
1768	cut	cap	first	R-MAT.500.25.18.gexf	500	9683	5	3	[128, 128, 128, 128]	257	195	195.0	inf	32	0	0	0	0	[257.0, 195.0]	R-MAT	500	25	18	gexf
1769	cut	cap	first	R-MAT.500.25.18.gexf	500	9683	10	4	[128, 128, 128, 128]	257	168	168.0	inf	54	0	0	0	0	[257.0, 168.0]	R-MAT	500	25	18	gexf
1770	cut	cap	first	R-MAT.500.25.18.gexf	500	9683	50	5	[128, 128, 128, 128]	257	78	78.0	inf	111	0	0	0	0	[257.0, 78.0]	R-MAT	500	25	18	gexf
1771	cut	cap	first	R-MAT.500.5.19.gexf	500	2276	2	1	[46, 46, 46, 46]	69	53	53.0	inf	86	0	0	0	0	[69.0, 53.0]	R-MAT	500	5	19	gexf
1772	cut	cap	first	R-MAT.500.5.19.gexf	500	2276	3	2	[46, 46, 46, 46]	69	50	50.0	inf	180	0	0	0	0	[69.0, 50.0]	R-MAT	500	5	19	gexf
1773	cut	cap	first	R-MAT.500.5.19.gexf	500	2276	5	3	[46, 46, 46, 46]	69	46	46.0	inf	300	0	0	0	0	[69.0, 46.0]	R-MAT	500	5	19	gexf
1774	cut	cap	first	R-MAT.500.5.19.gexf	500	2276	10	4	[46, 46, 46, 46]	69	36	36.0	inf	290	0	0	0	0	[69.0, 36.0]	R-MAT	500	5	19	gexf
1776	cut	cap	first	R-MAT.500.10.19.gexf	500	4334	2	1	[73, 73, 73, 73]	100	87	87.0	inf	68	0	0	0	0	[100.0, 87.0]	R-MAT	500	10	19	gexf
1777	cut	cap	first	R-MAT.500.10.19.gexf	500	4334	3	2	[73, 73, 73, 73]	100	82	82.0	inf	103	0	0	0	0	[100.0, 82.0]	R-MAT	500	10	19	gexf
1778	cut	cap	first	R-MAT.500.10.19.gexf	500	4334	5	3	[73, 73, 73, 73]	100	76	76.0	inf	143	0	0	0	0	[100.0, 76.0]	R-MAT	500	10	19	gexf
1779	cut	cap	first	R-MAT.500.10.19.gexf	500	4334	10	4	[73, 73, 73, 73]	100	65	65.0	inf	142	0	0	0	0	[100.0, 65.0]	R-MAT	500	10	19	gexf
1780	cut	cap	first	R-MAT.500.10.19.gexf	500	4334	50	5	[73, 73, 73, 73]	100	23	23.0	inf	239	0	0	0	0	[100.0, 23.0]	R-MAT	500	10	19	gexf
1781	cut	cap	first	R-MAT.500.25.19.gexf	500	9699	2	1	[126, 126, 126, 126]	252	216	216.0	inf	11	0	0	0	0	[252.0, 216.0]	R-MAT	500	25	19	gexf
1782	cut	cap	first	R-MAT.500.25.19.gexf	500	9699	3	2	[126, 126, 126, 126]	252	207	207.0	inf	100	0	0	0	0	[252.0, 207.0]	R-MAT	500	25	19	gexf
1783	cut	cap	first	R-MAT.500.25.19.gexf	500	9699	5	3	[126, 126, 126, 126]	252	193	193.0	inf	38	0	0	0	0	[252.0, 193.0]	R-MAT	500	25	19	gexf
1784	cut	cap	first	R-MAT.500.25.19.gexf	500	9699	10	4	[126, 126, 126, 126]	252	171	171.0	inf	76	0	0	0	0	[252.0, 171.0]	R-MAT	500	25	19	gexf
1785	cut	cap	first	R-MAT.500.25.19.gexf	500	9699	50	5	[126, 126, 126, 126]	252	77	77.0	inf	87	0	0	0	0	[252.0, 77.0]	R-MAT	500	25	19	gexf
1786	cut	cap	first	R-MAT.500.5.20.gexf	500	2321	2	1	[44, 44, 44, 44]	64	52	52.0	inf	115	0	0	0	0	[64.0, 52.0]	R-MAT	500	5	20	gexf
1787	cut	cap	first	R-MAT.500.5.20.gexf	500	2321	3	2	[44, 44, 44, 44]	64	48	48.0	inf	138	0	0	0	0	[64.0, 48.0]	R-MAT	500	5	20	gexf
1788	cut	cap	first	R-MAT.500.5.20.gexf	500	2321	5	3	[44, 44, 44, 44]	64	42	42.0	inf	247	0	0	0	0	[64.0, 42.0]	R-MAT	500	5	20	gexf
1789	cut	cap	first	R-MAT.500.5.20.gexf	500	2321	10	4	[44, 44, 44, 44]	64	34	34.0	inf	396	0	0	0	0	[64.0, 34.0]	R-MAT	500	5	20	gexf
1791	cut	cap	first	R-MAT.500.10.20.gexf	500	4348	2	1	[65, 65, 65, 65]	102	85	85.0	inf	80	0	0	0	0	[102.0, 85.0]	R-MAT	500	10	20	gexf
1792	cut	cap	first	R-MAT.500.10.20.gexf	500	4348	3	2	[65, 65, 65, 65]	102	80	80.0	inf	67	0	0	0	0	[102.0, 80.0]	R-MAT	500	10	20	gexf
1793	cut	cap	first	R-MAT.500.10.20.gexf	500	4348	5	3	[65, 65, 65, 65]	102	72	72.0	inf	117	0	0	0	0	[102.0, 72.0]	R-MAT	500	10	20	gexf
1794	cut	cap	first	R-MAT.500.10.20.gexf	500	4348	10	4	[65, 65, 65, 65]	102	58	58.0	inf	143	0	0	0	0	[102.0, 58.0]	R-MAT	500	10	20	gexf
1795	cut	cap	first	R-MAT.500.10.20.gexf	500	4348	50	5	[65, 65, 65, 65]	102	15	15.0	inf	237	0	0	0	0	[102.0, 15.0]	R-MAT	500	10	20	gexf
1796	cut	cap	first	R-MAT.500.25.20.gexf	500	9703	2	1	[126, 126, 126, 126]	245	204	204.0	inf	21	0	0	0	0	[245.0, 204.0]	R-MAT	500	25	20	gexf
1797	cut	cap	first	R-MAT.500.25.20.gexf	500	9703	3	2	[126, 126, 126, 126]	245	193	193.0	inf	20	0	0	0	0	[245.0, 193.0]	R-MAT	500	25	20	gexf
1798	cut	cap	first	R-MAT.500.25.20.gexf	500	9703	5	3	[126, 126, 126, 126]	245	181	181.0	inf	81	0	0	0	0	[245.0, 181.0]	R-MAT	500	25	20	gexf
1799	cut	cap	first	R-MAT.500.25.20.gexf	500	9703	10	4	[126, 126, 126, 126]	245	159	159.0	inf	88	0	0	0	0	[245.0, 159.0]	R-MAT	500	25	20	gexf
1800	cut	cap	first	R-MAT.500.25.20.gexf	500	9703	50	5	[126, 126, 126, 126]	245	76	76.0	inf	109	0	0	0	0	[245.0, 76.0]	R-MAT	500	25	20	gexf
1801	cut	cap	first	R-MAT.500.5.21.gexf	500	2293	2	1	[40, 40, 40, 40]	56	45	45.0	inf	181	0	0	0	0	[56.0, 45.0]	R-MAT	500	5	21	gexf
1802	cut	cap	first	R-MAT.500.5.21.gexf	500	2293	3	2	[40, 40, 40, 40]	56	42	42.0	inf	249	0	0	0	0	[56.0, 42.0]	R-MAT	500	5	21	gexf
1803	cut	cap	first	R-MAT.500.5.21.gexf	500	2293	5	3	[40, 40, 40, 40]	56	38	38.0	inf	249	0	0	0	0	[56.0, 38.0]	R-MAT	500	5	21	gexf
1804	cut	cap	first	R-MAT.500.5.21.gexf	500	2293	10	4	[40, 40, 40, 40]	56	30	30.0	inf	403	0	0	0	0	[56.0, 30.0]	R-MAT	500	5	21	gexf
1806	cut	cap	first	R-MAT.500.10.21.gexf	500	4351	2	1	[73, 73, 73, 73]	114	92	92.0	inf	34	0	0	0	0	[114.0, 92.0]	R-MAT	500	10	21	gexf
1807	cut	cap	first	R-MAT.500.10.21.gexf	500	4351	3	2	[73, 73, 73, 73]	114	87	87.0	inf	213	0	0	0	0	[114.0, 87.0]	R-MAT	500	10	21	gexf
1808	cut	cap	first	R-MAT.500.10.21.gexf	500	4351	5	3	[73, 73, 73, 73]	114	80	80.0	inf	104	0	0	0	0	[114.0, 80.0]	R-MAT	500	10	21	gexf
1809	cut	cap	first	R-MAT.500.10.21.gexf	500	4351	10	4	[73, 73, 73, 73]	114	70	70.0	inf	138	0	0	0	0	[114.0, 70.0]	R-MAT	500	10	21	gexf
1810	cut	cap	first	R-MAT.500.10.21.gexf	500	4351	50	5	[73, 73, 73, 73]	114	23	23.0	inf	241	0	0	0	0	[114.0, 23.0]	R-MAT	500	10	21	gexf
1811	cut	cap	first	R-MAT.500.25.21.gexf	500	9711	2	1	[138, 138, 138, 138]	289	238	238.0	inf	10	0	0	0	0	[289.0, 238.0]	R-MAT	500	25	21	gexf
1812	cut	cap	first	R-MAT.500.25.21.gexf	500	9711	3	2	[138, 138, 138, 138]	289	223	223.0	inf	106	0	0	0	0	[289.0, 223.0]	R-MAT	500	25	21	gexf
1813	cut	cap	first	R-MAT.500.25.21.gexf	500	9711	5	3	[138, 138, 138, 138]	289	202	202.0	inf	20	0	0	0	0	[289.0, 202.0]	R-MAT	500	25	21	gexf
1814	cut	cap	first	R-MAT.500.25.21.gexf	500	9711	10	4	[138, 138, 138, 138]	289	178	178.0	inf	44	0	0	0	0	[289.0, 178.0]	R-MAT	500	25	21	gexf
1815	cut	cap	first	R-MAT.500.25.21.gexf	500	9711	50	5	[138, 138, 138, 138]	289	88	88.0	inf	112	0	0	0	0	[289.0, 88.0]	R-MAT	500	25	21	gexf
1816	cut	cap	first	R-MAT.500.5.22.gexf	500	2293	2	1	[34, 34, 34, 34]	41	34	34.0	inf	179	0	0	0	0	[41.0, 34.0]	R-MAT	500	5	22	gexf
1817	cut	cap	first	R-MAT.500.5.22.gexf	500	2293	3	2	[34, 34, 34, 34]	41	32	32.0	inf	250	0	0	0	0	[41.0, 32.0]	R-MAT	500	5	22	gexf
1818	cut	cap	first	R-MAT.500.5.22.gexf	500	2293	5	3	[34, 34, 34, 34]	41	29	29.0	inf	400	0	0	0	0	[41.0, 29.0]	R-MAT	500	5	22	gexf
1819	cut	cap	first	R-MAT.500.5.22.gexf	500	2293	10	4	[34, 34, 34, 34]	41	24	24.0	inf	410	0	0	0	0	[41.0, 24.0]	R-MAT	500	5	22	gexf
1821	cut	cap	first	R-MAT.500.10.22.gexf	500	4348	2	1	[65, 65, 65, 65]	99	83	83.0	inf	82	0	0	0	0	[99.0, 83.0]	R-MAT	500	10	22	gexf
1822	cut	cap	first	R-MAT.500.10.22.gexf	500	4348	3	2	[65, 65, 65, 65]	99	78	78.0	inf	67	0	0	0	0	[99.0, 78.0]	R-MAT	500	10	22	gexf
1823	cut	cap	first	R-MAT.500.10.22.gexf	500	4348	5	3	[65, 65, 65, 65]	99	70	70.0	inf	121	0	0	0	0	[99.0, 70.0]	R-MAT	500	10	22	gexf
1824	cut	cap	first	R-MAT.500.10.22.gexf	500	4348	10	4	[65, 65, 65, 65]	99	59	59.0	inf	175	0	0	0	0	[99.0, 59.0]	R-MAT	500	10	22	gexf
1825	cut	cap	first	R-MAT.500.10.22.gexf	500	4348	50	5	[65, 65, 65, 65]	99	15	15.0	inf	243	0	0	0	0	[99.0, 15.0]	R-MAT	500	10	22	gexf
1826	cut	cap	first	R-MAT.500.25.22.gexf	500	9775	2	1	[134, 134, 134, 134]	264	217	217.0	inf	13	0	0	0	0	[264.0, 217.0]	R-MAT	500	25	22	gexf
1827	cut	cap	first	R-MAT.500.25.22.gexf	500	9775	3	2	[134, 134, 134, 134]	264	205	205.0	inf	107	0	0	0	0	[264.0, 205.0]	R-MAT	500	25	22	gexf
1828	cut	cap	first	R-MAT.500.25.22.gexf	500	9775	5	3	[134, 134, 134, 134]	264	188	188.0	inf	47	0	0	0	0	[264.0, 188.0]	R-MAT	500	25	22	gexf
1829	cut	cap	first	R-MAT.500.25.22.gexf	500	9775	10	4	[134, 134, 134, 134]	264	166	166.0	inf	58	0	0	0	0	[264.0, 166.0]	R-MAT	500	25	22	gexf
1830	cut	cap	first	R-MAT.500.25.22.gexf	500	9775	50	5	[134, 134, 134, 134]	264	84	84.0	inf	110	0	0	0	0	[264.0, 84.0]	R-MAT	500	25	22	gexf
1831	cut	cap	first	R-MAT.500.5.23.gexf	500	2342	2	1	[41, 41, 41, 41]	56	46	46.0	inf	137	0	0	0	0	[56.0, 46.0]	R-MAT	500	5	23	gexf
1832	cut	cap	first	R-MAT.500.5.23.gexf	500	2342	3	2	[41, 41, 41, 41]	56	43	43.0	inf	178	0	0	0	0	[56.0, 43.0]	R-MAT	500	5	23	gexf
1833	cut	cap	first	R-MAT.500.5.23.gexf	500	2342	5	3	[41, 41, 41, 41]	56	39	39.0	inf	245	0	0	0	0	[56.0, 39.0]	R-MAT	500	5	23	gexf
1834	cut	cap	first	R-MAT.500.5.23.gexf	500	2342	10	4	[41, 41, 41, 41]	56	31	31.0	inf	391	0	0	0	0	[56.0, 31.0]	R-MAT	500	5	23	gexf
1836	cut	cap	first	R-MAT.500.10.23.gexf	500	4409	2	1	[60, 60, 60, 60]	92	76	76.0	inf	79	0	0	0	0	[92.0, 76.0]	R-MAT	500	10	23	gexf
1837	cut	cap	first	R-MAT.500.10.23.gexf	500	4409	3	2	[60, 60, 60, 60]	92	72	72.0	inf	81	0	0	0	0	[92.0, 72.0]	R-MAT	500	10	23	gexf
1838	cut	cap	first	R-MAT.500.10.23.gexf	500	4409	5	3	[60, 60, 60, 60]	92	65	65.0	inf	140	0	0	0	0	[92.0, 65.0]	R-MAT	500	10	23	gexf
1839	cut	cap	first	R-MAT.500.10.23.gexf	500	4409	10	4	[60, 60, 60, 60]	92	55	55.0	inf	153	0	0	0	0	[92.0, 55.0]	R-MAT	500	10	23	gexf
1840	cut	cap	first	R-MAT.500.10.23.gexf	500	4409	50	5	[60, 60, 60, 60]	92	10	10.0	inf	242	0	0	0	0	[92.0, 10.0]	R-MAT	500	10	23	gexf
1841	cut	cap	first	R-MAT.500.25.23.gexf	500	9629	2	1	[136, 136, 136, 136]	302	252	252.0	inf	11	0	0	0	0	[302.0, 252.0]	R-MAT	500	25	23	gexf
1842	cut	cap	first	R-MAT.500.25.23.gexf	500	9629	3	2	[136, 136, 136, 136]	302	235	235.0	inf	13	0	0	0	0	[302.0, 235.0]	R-MAT	500	25	23	gexf
1843	cut	cap	first	R-MAT.500.25.23.gexf	500	9629	5	3	[136, 136, 136, 136]	302	211	211.0	inf	23	0	0	0	0	[302.0, 211.0]	R-MAT	500	25	23	gexf
1844	cut	cap	first	R-MAT.500.25.23.gexf	500	9629	10	4	[136, 136, 136, 136]	302	186	186.0	inf	65	0	0	0	0	[302.0, 186.0]	R-MAT	500	25	23	gexf
1845	cut	cap	first	R-MAT.500.25.23.gexf	500	9629	50	5	[136, 136, 136, 136]	302	89	89.0	inf	84	0	0	0	0	[302.0, 89.0]	R-MAT	500	25	23	gexf
1846	cut	cap	first	R-MAT.500.5.24.gexf	500	2324	2	1	[35, 35, 35, 35]	41	36	36.0	inf	248	0	0	0	0	[41.0, 36.0]	R-MAT	500	5	24	gexf
1847	cut	cap	first	R-MAT.500.5.24.gexf	500	2324	3	2	[35, 35, 35, 35]	41	34	34.0	inf	249	0	0	0	0	[41.0, 34.0]	R-MAT	500	5	24	gexf
1848	cut	cap	first	R-MAT.500.5.24.gexf	500	2324	5	3	[35, 35, 35, 35]	41	30	30.0	inf	248	0	0	0	0	[41.0, 30.0]	R-MAT	500	5	24	gexf
1849	cut	cap	first	R-MAT.500.5.24.gexf	500	2324	10	4	[35, 35, 35, 35]	41	25	25.0	inf	403	0	0	0	0	[41.0, 25.0]	R-MAT	500	5	24	gexf
1851	cut	cap	first	R-MAT.500.10.24.gexf	500	4413	2	1	[67, 67, 67, 67]	101	85	85.0	inf	218	0	0	0	0	[101.0, 85.0]	R-MAT	500	10	24	gexf
1852	cut	cap	first	R-MAT.500.10.24.gexf	500	4413	3	2	[67, 67, 67, 67]	101	81	81.0	inf	100	0	0	0	0	[101.0, 81.0]	R-MAT	500	10	24	gexf
1853	cut	cap	first	R-MAT.500.10.24.gexf	500	4413	5	3	[67, 67, 67, 67]	101	75	75.0	inf	105	0	0	0	0	[101.0, 75.0]	R-MAT	500	10	24	gexf
1854	cut	cap	first	R-MAT.500.10.24.gexf	500	4413	10	4	[67, 67, 67, 67]	101	64	64.0	inf	175	0	0	0	0	[101.0, 64.0]	R-MAT	500	10	24	gexf
1855	cut	cap	first	R-MAT.500.10.24.gexf	500	4413	50	5	[67, 67, 67, 67]	101	17	17.0	inf	240	0	0	0	0	[101.0, 17.0]	R-MAT	500	10	24	gexf
1856	cut	cap	first	R-MAT.500.25.24.gexf	500	9692	2	1	[116, 116, 116, 116]	244	207	207.0	inf	15	0	0	0	0	[244.0, 207.0]	R-MAT	500	25	24	gexf
1857	cut	cap	first	R-MAT.500.25.24.gexf	500	9692	3	2	[116, 116, 116, 116]	244	195	195.0	inf	18	0	0	0	0	[244.0, 195.0]	R-MAT	500	25	24	gexf
1858	cut	cap	first	R-MAT.500.25.24.gexf	500	9692	5	3	[116, 116, 116, 116]	244	174	174.0	inf	20	0	0	0	0	[244.0, 174.0]	R-MAT	500	25	24	gexf
1859	cut	cap	first	R-MAT.500.25.24.gexf	500	9692	10	4	[116, 116, 116, 116]	244	150	150.0	inf	81	0	0	0	0	[244.0, 150.0]	R-MAT	500	25	24	gexf
1860	cut	cap	first	R-MAT.500.25.24.gexf	500	9692	50	5	[116, 116, 116, 116]	244	66	66.0	inf	109	0	0	0	0	[244.0, 66.0]	R-MAT	500	25	24	gexf
1861	cut	cap	first	R-MAT.500.5.25.gexf	500	2331	2	1	[26, 26, 26, 26]	35	27	27.0	inf	182	0	0	0	0	[35.0, 27.0]	R-MAT	500	5	25	gexf
1862	cut	cap	first	R-MAT.500.5.25.gexf	500	2331	3	2	[26, 26, 26, 26]	35	25	25.0	inf	249	0	0	0	0	[35.0, 25.0]	R-MAT	500	5	25	gexf
1863	cut	cap	first	R-MAT.500.5.25.gexf	500	2331	5	3	[26, 26, 26, 26]	35	21	21.0	inf	254	0	0	0	0	[35.0, 21.0]	R-MAT	500	5	25	gexf
1864	cut	cap	first	R-MAT.500.5.25.gexf	500	2331	10	4	[26, 26, 26, 26]	35	16	16.0	inf	416	0	0	0	0	[35.0, 16.0]	R-MAT	500	5	25	gexf
1866	cut	cap	first	R-MAT.500.10.25.gexf	500	4416	2	1	[77, 77, 77, 77]	109	97	97.0	inf	56	0	0	0	0	[109.0, 97.0]	R-MAT	500	10	25	gexf
1867	cut	cap	first	R-MAT.500.10.25.gexf	500	4416	3	2	[77, 77, 77, 77]	109	92	92.0	inf	67	0	0	0	0	[109.0, 92.0]	R-MAT	500	10	25	gexf
1868	cut	cap	first	R-MAT.500.10.25.gexf	500	4416	5	3	[77, 77, 77, 77]	109	86	86.0	inf	118	0	0	0	0	[109.0, 86.0]	R-MAT	500	10	25	gexf
1869	cut	cap	first	R-MAT.500.10.25.gexf	500	4416	10	4	[77, 77, 77, 77]	109	75	75.0	inf	153	0	0	0	0	[109.0, 75.0]	R-MAT	500	10	25	gexf
1870	cut	cap	first	R-MAT.500.10.25.gexf	500	4416	50	5	[77, 77, 77, 77]	109	27	27.0	inf	236	0	0	0	0	[109.0, 27.0]	R-MAT	500	10	25	gexf
1871	cut	cap	first	R-MAT.500.25.25.gexf	500	9651	2	1	[129, 129, 129, 129]	256	209	209.0	inf	11	0	0	0	0	[256.0, 209.0]	R-MAT	500	25	25	gexf
1872	cut	cap	first	R-MAT.500.25.25.gexf	500	9651	3	2	[129, 129, 129, 129]	256	199	199.0	inf	23	0	0	0	0	[256.0, 199.0]	R-MAT	500	25	25	gexf
