construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4	mem	constant	best
1017	cut	cap	first	R-MAT.100.25.18.gexf	100	1430	3	2	[36, 36, 36, 36]	107	80	80.0	inf	188	0	0	0	0	[107.0, 80.0]	R-MAT	100	25	18	gexf	107	1.3375	0.5
1018	cut	cap	first	R-MAT.100.25.18.gexf	100	1430	5	3	[36, 36, 36, 36]	107	67	67.0	inf	338	0	0	0	0	[107.0, 67.0]	R-MAT	100	25	18	gexf	107	1.59701492537313	0.5
1019	cut	cap	first	R-MAT.100.25.18.gexf	100	1430	10	4	[36, 36, 36, 36]	107	46	46.0	inf	386	0	0	0	0	[107.0, 46.0]	R-MAT	100	25	18	gexf	105.6	2.29565217391304	0.5
1021	cut	cap	first	R-MAT.100.5.19.gexf	100	397	2	1	[10, 10, 10, 10]	14	9	9.0	inf	2319	0	0	0	0	[14.0, 9.0]	R-MAT	100	5	19	gexf	14	1.55555555555556	0.5
1022	cut	cap	first	R-MAT.100.5.19.gexf	100	397	3	2	[10, 10, 10, 10]	14	7	7.0	inf	1566	0	0	0	0	[14.0, 7.0]	R-MAT	100	5	19	gexf	14	2	0.5
1023	cut	cap	first	R-MAT.100.5.19.gexf	100	397	5	3	[10, 10, 10, 10]	14	5	5.0	inf	2601	0	0	0	0	[14.0, 5.0]	R-MAT	100	5	19	gexf	13.2	2.64	0.5
1026	cut	cap	first	R-MAT.100.10.19.gexf	100	738	2	1	[31, 31, 31, 31]	45	35	35.0	inf	466	0	0	0	0	[45.0, 35.0]	R-MAT	100	10	19	gexf	45	1.28571428571429	0.5
1027	cut	cap	first	R-MAT.100.10.19.gexf	100	738	3	2	[31, 31, 31, 31]	45	32	32.0	inf	604	0	0	0	0	[45.0, 32.0]	R-MAT	100	10	19	gexf	45	1.40625	0.5
1028	cut	cap	first	R-MAT.100.10.19.gexf	100	738	5	3	[31, 31, 31, 31]	45	28	28.0	inf	824	0	0	0	0	[45.0, 28.0]	R-MAT	100	10	19	gexf	45	1.60714285714286	0.5
1029	cut	cap	first	R-MAT.100.10.19.gexf	100	738	10	4	[31, 31, 31, 31]	45	21	21.0	inf	1414	0	0	0	0	[45.0, 21.0]	R-MAT	100	10	19	gexf	42.7777777777778	2.03703703703704	0.5
1031	cut	cap	first	R-MAT.100.25.19.gexf	100	1391	2	1	[32, 32, 32, 32]	93	73	73.0	inf	170	0	0	0	0	[93.0, 73.0]	R-MAT	100	25	19	gexf	93	1.27397260273973	0.5
1032	cut	cap	first	R-MAT.100.25.19.gexf	100	1391	3	2	[32, 32, 32, 32]	93	65	65.0	inf	171	0	0	0	0	[93.0, 65.0]	R-MAT	100	25	19	gexf	93	1.43076923076923	0.5
1033	cut	cap	first	R-MAT.100.25.19.gexf	100	1391	5	3	[32, 32, 32, 32]	93	54	54.0	inf	287	0	0	0	0	[93.0, 54.0]	R-MAT	100	25	19	gexf	93	1.72222222222222	0.5
1034	cut	cap	first	R-MAT.100.25.19.gexf	100	1391	10	4	[32, 32, 32, 32]	93	38	38.0	inf	435	0	0	0	0	[93.0, 38.0]	R-MAT	100	25	19	gexf	89.2222222222222	2.34795321637427	0.5
1036	cut	cap	first	R-MAT.100.5.20.gexf	100	424	2	1	[9, 9, 9, 9]	16	10	10.0	inf	2218	0	0	0	0	[16.0, 10.0]	R-MAT	100	5	20	gexf	16	1.6	0.5
1037	cut	cap	first	R-MAT.100.5.20.gexf	100	424	3	2	[9, 9, 9, 9]	16	8	8.0	inf	1785	0	0	0	0	[16.0, 8.0]	R-MAT	100	5	20	gexf	16	2	0.5
1038	cut	cap	first	R-MAT.100.5.20.gexf	100	424	5	3	[9, 9, 9, 9]	16	4	4.0	inf	1860	0	0	0	0	[16.0, 4.0]	R-MAT	100	5	20	gexf	14.4	3.6	0.5
1041	cut	cap	first	R-MAT.100.10.20.gexf	100	719	2	1	[20, 20, 20, 20]	34	26	26.0	inf	638	0	0	0	0	[34.0, 26.0]	R-MAT	100	10	20	gexf	34	1.30769230769231	0.5
1042	cut	cap	first	R-MAT.100.10.20.gexf	100	719	3	2	[20, 20, 20, 20]	34	23	23.0	inf	904	0	0	0	0	[34.0, 23.0]	R-MAT	100	10	20	gexf	34	1.47826086956522	0.5
1043	cut	cap	first	R-MAT.100.10.20.gexf	100	719	5	3	[20, 20, 20, 20]	34	19	19.0	inf	914	0	0	0	0	[34.0, 19.0]	R-MAT	100	10	20	gexf	34	1.78947368421053	0.5
1044	cut	cap	first	R-MAT.100.10.20.gexf	100	719	10	4	[20, 20, 20, 20]	34	10	11.0	10.0	1550	1	0	0	0	[34.0, 11.0, 10.0]	R-MAT	100	10	20	gexf	31.625	3.1625	0.5
1046	cut	cap	first	R-MAT.100.25.20.gexf	100	1387	2	1	[38, 38, 38, 38]	122	101	101.0	inf	148	0	0	0	0	[122.0, 101.0]	R-MAT	100	25	20	gexf	122	1.20792079207921	0.5
1047	cut	cap	first	R-MAT.100.25.20.gexf	100	1387	3	2	[38, 38, 38, 38]	122	92	92.0	inf	134	0	0	0	0	[122.0, 92.0]	R-MAT	100	25	20	gexf	122	1.32608695652174	0.5
1048	cut	cap	first	R-MAT.100.25.20.gexf	100	1387	5	3	[38, 38, 38, 38]	122	75	75.0	inf	150	0	0	0	0	[122.0, 75.0]	R-MAT	100	25	20	gexf	122	1.62666666666667	0.5
1049	cut	cap	first	R-MAT.100.25.20.gexf	100	1387	10	4	[38, 38, 38, 38]	122	48	48.0	inf	367	0	0	0	0	[122.0, 48.0]	R-MAT	100	25	20	gexf	122	2.54166666666667	0.5
1051	cut	cap	first	R-MAT.100.5.21.gexf	100	417	2	1	[14, 14, 14, 14]	16	12	12.0	inf	1431	0	0	0	0	[16.0, 12.0]	R-MAT	100	5	21	gexf	16	1.33333333333333	0.5
1052	cut	cap	first	R-MAT.100.5.21.gexf	100	417	3	2	[14, 14, 14, 14]	16	11	11.0	inf	2281	0	0	0	0	[16.0, 11.0]	R-MAT	100	5	21	gexf	16	1.45454545454545	0.5
1053	cut	cap	first	R-MAT.100.5.21.gexf	100	417	5	3	[14, 14, 14, 14]	16	9	9.0	inf	2358	0	0	0	0	[16.0, 9.0]	R-MAT	100	5	21	gexf	16	1.77777777777778	0.5
1054	cut	cap	first	R-MAT.100.5.21.gexf	100	417	10	4	[14, 14, 14, 14]	16	4	4.0	inf	2451	0	0	0	0	[16.0, 4.0]	R-MAT	100	5	21	gexf	14.6666666666667	3.66666666666667	0.5
1056	cut	cap	first	R-MAT.100.10.21.gexf	100	727	2	1	[24, 24, 24, 24]	42	31	31.0	inf	407	0	0	0	0	[42.0, 31.0]	R-MAT	100	10	21	gexf	42	1.35483870967742	0.5
1057	cut	cap	first	R-MAT.100.10.21.gexf	100	727	3	2	[24, 24, 24, 24]	42	27	27.0	inf	619	0	0	0	0	[42.0, 27.0]	R-MAT	100	10	21	gexf	42	1.55555555555556	0.5
1058	cut	cap	first	R-MAT.100.10.21.gexf	100	727	5	3	[24, 24, 24, 24]	42	20	20.0	inf	901	0	0	0	0	[42.0, 20.0]	R-MAT	100	10	21	gexf	42	2.1	0.5
1059	cut	cap	first	R-MAT.100.10.21.gexf	100	727	10	4	[24, 24, 24, 24]	42	14	14.0	inf	1524	0	0	0	0	[42.0, 14.0]	R-MAT	100	10	21	gexf	36.1428571428571	2.58163265306122	0.5
1061	cut	cap	first	R-MAT.100.25.21.gexf	100	1393	2	1	[38, 38, 38, 38]	121	100	100.0	inf	121	0	0	0	0	[121.0, 100.0]	R-MAT	100	25	21	gexf	121	1.21	0.5
1062	cut	cap	first	R-MAT.100.25.21.gexf	100	1393	3	2	[38, 38, 38, 38]	121	91	91.0	inf	136	0	0	0	0	[121.0, 91.0]	R-MAT	100	25	21	gexf	121	1.32967032967033	0.5
1063	cut	cap	first	R-MAT.100.25.21.gexf	100	1393	5	3	[38, 38, 38, 38]	121	77	77.0	inf	679	0	0	0	0	[121.0, 77.0]	R-MAT	100	25	21	gexf	121	1.57142857142857	0.5
1064	cut	cap	first	R-MAT.100.25.21.gexf	100	1393	10	4	[38, 38, 38, 38]	121	52	52.0	inf	364	0	0	0	0	[121.0, 52.0]	R-MAT	100	25	21	gexf	121	2.32692307692308	0.5
1066	cut	cap	first	R-MAT.100.5.22.gexf	100	416	2	1	[15, 15, 15, 15]	23	17	17.0	inf	913	0	0	0	0	[23.0, 17.0]	R-MAT	100	5	22	gexf	23	1.35294117647059	0.5
1067	cut	cap	first	R-MAT.100.5.22.gexf	100	416	3	2	[15, 15, 15, 15]	23	15	15.0	inf	1274	0	0	0	0	[23.0, 15.0]	R-MAT	100	5	22	gexf	23	1.53333333333333	0
1068	cut	cap	first	R-MAT.100.5.22.gexf	100	416	5	3	[15, 15, 15, 15]	23	11	11.0	inf	1378	0	0	0	0	[23.0, 11.0]	R-MAT	100	5	22	gexf	23	2.09090909090909	0
1069	cut	cap	first	R-MAT.100.5.22.gexf	100	416	10	4	[15, 15, 15, 15]	23	6	6.0	inf	2410	0	0	0	0	[23.0, 6.0]	R-MAT	100	5	22	gexf	18.3333333333333	3.05555555555556	0
1071	cut	cap	first	R-MAT.100.10.22.gexf	100	735	2	1	[25, 25, 25, 25]	45	36	36.0	inf	1182	0	0	0	0	[45.0, 36.0]	R-MAT	100	10	22	gexf	45	1.25	0.5
1072	cut	cap	first	R-MAT.100.10.22.gexf	100	735	3	2	[25, 25, 25, 25]	45	33	33.0	inf	591	0	0	0	0	[45.0, 33.0]	R-MAT	100	10	22	gexf	45	1.36363636363636	0.5
1073	cut	cap	first	R-MAT.100.10.22.gexf	100	735	5	3	[25, 25, 25, 25]	45	27	27.0	inf	603	0	0	0	0	[45.0, 27.0]	R-MAT	100	10	22	gexf	45	1.66666666666667	0.5
1074	cut	cap	first	R-MAT.100.10.22.gexf	100	735	10	4	[25, 25, 25, 25]	45	17	17.0	inf	948	0	0	0	0	[45.0, 17.0]	R-MAT	100	10	22	gexf	44	2.58823529411765	0.5
1076	cut	cap	first	R-MAT.100.25.22.gexf	100	1390	2	1	[37, 37, 37, 37]	95	81	81.0	inf	255	0	0	0	0	[95.0, 81.0]	R-MAT	100	25	22	gexf	95	1.17283950617284	0.5
1077	cut	cap	first	R-MAT.100.25.22.gexf	100	1390	3	2	[37, 37, 37, 37]	95	75	75.0	inf	246	0	0	0	0	[95.0, 75.0]	R-MAT	100	25	22	gexf	95	1.26666666666667	0.5
1078	cut	cap	first	R-MAT.100.25.22.gexf	100	1390	5	3	[37, 37, 37, 37]	95	65	65.0	inf	308	0	0	0	0	[95.0, 65.0]	R-MAT	100	25	22	gexf	95	1.46153846153846	0.5
1079	cut	cap	first	R-MAT.100.25.22.gexf	100	1390	10	4	[37, 37, 37, 37]	95	46	46.0	inf	499	0	0	0	0	[95.0, 46.0]	R-MAT	100	25	22	gexf	95	2.06521739130435	0.5
1081	cut	cap	first	R-MAT.100.5.23.gexf	100	419	2	1	[11, 11, 11, 11]	18	11	11.0	inf	1356	0	0	0	0	[18.0, 11.0]	R-MAT	100	5	23	gexf	18	1.63636363636364	0.5
1082	cut	cap	first	R-MAT.100.5.23.gexf	100	419	3	2	[11, 11, 11, 11]	18	9	9.0	inf	1377	0	0	0	0	[18.0, 9.0]	R-MAT	100	5	23	gexf	17.3333333333333	1.92592592592593	0.5
1083	cut	cap	first	R-MAT.100.5.23.gexf	100	419	5	3	[11, 11, 11, 11]	18	6	6.0	inf	2360	0	0	0	0	[18.0, 6.0]	R-MAT	100	5	23	gexf	15.6	2.6	0.5
1084	cut	cap	first	R-MAT.100.5.23.gexf	100	419	10	4	[11, 11, 11, 11]	18	1	1.0	inf	2532	0	0	0	0	[18.0, 1.0]	R-MAT	100	5	23	gexf	11	11	0.5
1086	cut	cap	first	R-MAT.100.10.23.gexf	100	736	2	1	[21, 21, 21, 21]	36	24	24.0	inf	347	0	0	0	0	[36.0, 24.0]	R-MAT	100	10	23	gexf	36	1.5	0.5
1087	cut	cap	first	R-MAT.100.10.23.gexf	100	736	3	2	[21, 21, 21, 21]	36	21	21.0	inf	1439	0	0	0	0	[36.0, 21.0]	R-MAT	100	10	23	gexf	36	1.71428571428571	0.5
1088	cut	cap	first	R-MAT.100.10.23.gexf	100	736	5	3	[21, 21, 21, 21]	36	17	17.0	inf	905	0	0	0	0	[36.0, 17.0]	R-MAT	100	10	23	gexf	36	2.11764705882353	0.5
1089	cut	cap	first	R-MAT.100.10.23.gexf	100	736	10	4	[21, 21, 21, 21]	36	11	11.0	inf	1519	0	0	0	0	[36.0, 11.0]	R-MAT	100	10	23	gexf	28.875	2.625	0.5
1091	cut	cap	first	R-MAT.100.25.23.gexf	100	1430	2	1	[38, 38, 38, 38]	115	93	93.0	inf	214	0	0	0	0	[115.0, 93.0]	R-MAT	100	25	23	gexf	115	1.23655913978495	0.5
1092	cut	cap	first	R-MAT.100.25.23.gexf	100	1430	3	2	[38, 38, 38, 38]	115	83	83.0	inf	206	0	0	0	0	[115.0, 83.0]	R-MAT	100	25	23	gexf	115	1.3855421686747	0.5
1093	cut	cap	first	R-MAT.100.25.23.gexf	100	1430	5	3	[38, 38, 38, 38]	115	72	72.0	inf	272	0	0	0	0	[115.0, 72.0]	R-MAT	100	25	23	gexf	115	1.59722222222222	0.5
1094	cut	cap	first	R-MAT.100.25.23.gexf	100	1430	10	4	[38, 38, 38, 38]	115	51	51.0	inf	332	0	0	0	0	[115.0, 51.0]	R-MAT	100	25	23	gexf	113.666666666667	2.22875816993464	0.5
1096	cut	cap	first	R-MAT.100.5.24.gexf	100	420	2	1	[11, 11, 11, 11]	17	12	12.0	inf	2178	0	0	0	0	[17.0, 12.0]	R-MAT	100	5	24	gexf	17	1.41666666666667	0.5
1097	cut	cap	first	R-MAT.100.5.24.gexf	100	420	3	2	[11, 11, 11, 11]	17	10	10.0	inf	2284	0	0	0	0	[17.0, 10.0]	R-MAT	100	5	24	gexf	17	1.7	0.5
1098	cut	cap	first	R-MAT.100.5.24.gexf	100	420	5	3	[11, 11, 11, 11]	17	6	6.0	inf	1650	0	0	0	0	[17.0, 6.0]	R-MAT	100	5	24	gexf	16.8	2.8	0.5
1099	cut	cap	first	R-MAT.100.5.24.gexf	100	420	10	4	[11, 11, 11, 11]	17	1	1.0	inf	2554	0	0	0	0	[17.0, 1.0]	R-MAT	100	5	24	gexf	11	11	0.5
1101	cut	cap	first	R-MAT.100.10.24.gexf	100	739	2	1	[28, 28, 28, 28]	50	37	37.0	inf	1195	0	0	0	0	[50.0, 37.0]	R-MAT	100	10	24	gexf	50	1.35135135135135	0.5
1102	cut	cap	first	R-MAT.100.10.24.gexf	100	739	3	2	[28, 28, 28, 28]	50	32	32.0	inf	391	0	0	0	0	[50.0, 32.0]	R-MAT	100	10	24	gexf	50	1.5625	0.5
1103	cut	cap	first	R-MAT.100.10.24.gexf	100	739	5	3	[28, 28, 28, 28]	50	26	26.0	inf	828	0	0	0	0	[50.0, 26.0]	R-MAT	100	10	24	gexf	50	1.92307692307692	0.5
1104	cut	cap	first	R-MAT.100.10.24.gexf	100	739	10	4	[28, 28, 28, 28]	50	18	20.0	18.0	1384	2	0	0	0	[50.0, 20.0, 19.0, 18.0]	R-MAT	100	10	24	gexf	44	2.44444444444444	0.5
1106	cut	cap	first	R-MAT.100.25.24.gexf	100	1437	2	1	[43, 43, 43, 43]	106	92	92.0	inf	218	0	0	0	0	[106.0, 92.0]	R-MAT	100	25	24	gexf	106	1.15217391304348	0.5
1107	cut	cap	first	R-MAT.100.25.24.gexf	100	1437	3	2	[43, 43, 43, 43]	106	85	85.0	inf	219	0	0	0	0	[106.0, 85.0]	R-MAT	100	25	24	gexf	106	1.24705882352941	0.5
1108	cut	cap	first	R-MAT.100.25.24.gexf	100	1437	5	3	[43, 43, 43, 43]	106	73	73.0	inf	339	0	0	0	0	[106.0, 73.0]	R-MAT	100	25	24	gexf	106	1.45205479452055	0.5
1109	cut	cap	first	R-MAT.100.25.24.gexf	100	1437	10	4	[43, 43, 43, 43]	106	50	50.0	inf	274	0	0	0	0	[106.0, 50.0]	R-MAT	100	25	24	gexf	106	2.12	0.5
1111	cut	cap	first	R-MAT.100.5.25.gexf	100	411	2	1	[10, 10, 10, 10]	13	8	10.0	8.0	1473	1	0	0	0	[13.0, 10.0, 8.0]	R-MAT	100	5	25	gexf	13	1.625	0.5
1112	cut	cap	first	R-MAT.100.5.25.gexf	100	411	3	2	[10, 10, 10, 10]	13	8	9.0	8.0	3396	1	0	0	0	[13.0, 9.0, 8.0]	R-MAT	100	5	25	gexf	13	1.625	0
1113	cut	cap	first	R-MAT.100.5.25.gexf	100	411	5	3	[10, 10, 10, 10]	13	7	7.0	inf	2444	0	0	0	0	[13.0, 7.0]	R-MAT	100	5	25	gexf	12	1.71428571428571	0
1116	cut	cap	first	R-MAT.100.10.25.gexf	100	738	2	1	[21, 21, 21, 21]	45	35	35.0	inf	1197	0	0	0	0	[45.0, 35.0]	R-MAT	100	10	25	gexf	45	1.28571428571429	0.5
1117	cut	cap	first	R-MAT.100.10.25.gexf	100	738	3	2	[21, 21, 21, 21]	45	31	31.0	inf	794	0	0	0	0	[45.0, 31.0]	R-MAT	100	10	25	gexf	45	1.45161290322581	0.5
1118	cut	cap	first	R-MAT.100.10.25.gexf	100	738	5	3	[21, 21, 21, 21]	45	24	24.0	inf	602	0	0	0	0	[45.0, 24.0]	R-MAT	100	10	25	gexf	45	1.875	0.5
1119	cut	cap	first	R-MAT.100.10.25.gexf	100	738	10	4	[21, 21, 21, 21]	45	11	11.0	inf	911	0	0	0	0	[45.0, 11.0]	R-MAT	100	10	25	gexf	42.4285714285714	3.85714285714286	0.5
1121	cut	cap	first	R-MAT.100.25.25.gexf	100	1409	2	1	[39, 39, 39, 39]	110	89	89.0	inf	130	0	0	0	0	[110.0, 89.0]	R-MAT	100	25	25	gexf	110	1.23595505617978	0.5
1122	cut	cap	first	R-MAT.100.25.25.gexf	100	1409	3	2	[39, 39, 39, 39]	110	81	81.0	inf	145	0	0	0	0	[110.0, 81.0]	R-MAT	100	25	25	gexf	110	1.35802469135802	0.5
1123	cut	cap	first	R-MAT.100.25.25.gexf	100	1409	5	3	[39, 39, 39, 39]	110	70	70.0	inf	463	0	0	0	0	[110.0, 70.0]	R-MAT	100	25	25	gexf	110	1.57142857142857	0.5
1124	cut	cap	first	R-MAT.100.25.25.gexf	100	1409	10	4	[39, 39, 39, 39]	110	51	51.0	inf	357	0	0	0	0	[110.0, 51.0]	R-MAT	100	25	25	gexf	108.777777777778	2.13289760348584	0.5
1126	cut	cap	first	R-MAT.100.5.26.gexf	100	405	2	1	[11, 11, 11, 11]	15	10	10.0	inf	1455	0	0	0	0	[15.0, 10.0]	R-MAT	100	5	26	gexf	15	1.5	0.5
1127	cut	cap	first	R-MAT.100.5.26.gexf	100	405	3	2	[11, 11, 11, 11]	15	8	8.0	inf	1474	0	0	0	0	[15.0, 8.0]	R-MAT	100	5	26	gexf	15	1.875	0.5
1128	cut	cap	first	R-MAT.100.5.26.gexf	100	405	5	3	[11, 11, 11, 11]	15	6	6.0	inf	2465	0	0	0	0	[15.0, 6.0]	R-MAT	100	5	26	gexf	14.4	2.4	0.5
1129	cut	cap	first	R-MAT.100.5.26.gexf	100	405	10	4	[11, 11, 11, 11]	15	1	1.0	inf	2614	0	0	0	0	[15.0, 1.0]	R-MAT	100	5	26	gexf	11	11	0.5
1131	cut	cap	first	R-MAT.100.10.26.gexf	100	707	2	1	[22, 22, 22, 22]	43	31	31.0	inf	1313	0	0	0	0	[43.0, 31.0]	R-MAT	100	10	26	gexf	43	1.38709677419355	0.5
1132	cut	cap	first	R-MAT.100.10.26.gexf	100	707	3	2	[22, 22, 22, 22]	43	28	28.0	inf	627	0	0	0	0	[43.0, 28.0]	R-MAT	100	10	26	gexf	43	1.53571428571429	0.5
1133	cut	cap	first	R-MAT.100.10.26.gexf	100	707	5	3	[22, 22, 22, 22]	43	22	22.0	inf	714	0	0	0	0	[43.0, 22.0]	R-MAT	100	10	26	gexf	42	1.90909090909091	0.5
1134	cut	cap	first	R-MAT.100.10.26.gexf	100	707	10	4	[22, 22, 22, 22]	43	12	12.0	inf	1566	0	0	0	0	[43.0, 12.0]	R-MAT	100	10	26	gexf	37.8888888888889	3.15740740740741	0.5
1136	cut	cap	first	R-MAT.100.25.26.gexf	100	1365	2	1	[44, 44, 44, 44]	114	91	91.0	inf	123	0	0	0	0	[114.0, 91.0]	R-MAT	100	25	26	gexf	114	1.25274725274725	0.5
1137	cut	cap	first	R-MAT.100.25.26.gexf	100	1365	3	2	[44, 44, 44, 44]	114	84	84.0	inf	718	0	0	0	0	[114.0, 84.0]	R-MAT	100	25	26	gexf	114	1.35714285714286	0.5
1138	cut	cap	first	R-MAT.100.25.26.gexf	100	1365	5	3	[44, 44, 44, 44]	114	72	72.0	inf	200	0	0	0	0	[114.0, 72.0]	R-MAT	100	25	26	gexf	114	1.58333333333333	0.5
1139	cut	cap	first	R-MAT.100.25.26.gexf	100	1365	10	4	[44, 44, 44, 44]	114	51	51.0	inf	329	0	0	0	0	[114.0, 51.0]	R-MAT	100	25	26	gexf	111.222222222222	2.18082788671024	0.5
1141	cut	cap	first	R-MAT.100.5.27.gexf	100	419	2	1	[16, 16, 16, 16]	19	14	14.0	inf	2233	0	0	0	0	[19.0, 14.0]	R-MAT	100	5	27	gexf	19	1.35714285714286	0.5
1142	cut	cap	first	R-MAT.100.5.27.gexf	100	419	3	2	[16, 16, 16, 16]	19	13	13.0	inf	2210	0	0	0	0	[19.0, 13.0]	R-MAT	100	5	27	gexf	19	1.46153846153846	0.5
1143	cut	cap	first	R-MAT.100.5.27.gexf	100	419	5	3	[16, 16, 16, 16]	19	11	11.0	inf	2224	0	0	0	0	[19.0, 11.0]	R-MAT	100	5	27	gexf	19	1.72727272727273	0.5
1144	cut	cap	first	R-MAT.100.5.27.gexf	100	419	10	4	[16, 16, 16, 16]	19	6	6.0	inf	2352	0	0	0	0	[19.0, 6.0]	R-MAT	100	5	27	gexf	17.1111111111111	2.85185185185185	0.5
1146	cut	cap	first	R-MAT.100.10.27.gexf	100	725	2	1	[19, 19, 19, 19]	36	28	28.0	inf	632	0	0	0	0	[36.0, 28.0]	R-MAT	100	10	27	gexf	36	1.28571428571429	0.5
1147	cut	cap	first	R-MAT.100.10.27.gexf	100	725	3	2	[19, 19, 19, 19]	36	25	25.0	inf	1381	0	0	0	0	[36.0, 25.0]	R-MAT	100	10	27	gexf	36	1.44	0.5
1148	cut	cap	first	R-MAT.100.10.27.gexf	100	725	5	3	[19, 19, 19, 19]	36	19	19.0	inf	794	0	0	0	0	[36.0, 19.0]	R-MAT	100	10	27	gexf	36	1.89473684210526	0.5
1149	cut	cap	first	R-MAT.100.10.27.gexf	100	725	10	4	[19, 19, 19, 19]	36	9	9.0	inf	1552	0	0	0	0	[36.0, 9.0]	R-MAT	100	10	27	gexf	34.2222222222222	3.80246913580247	0.5
1151	cut	cap	first	R-MAT.100.25.27.gexf	100	1419	2	1	[44, 44, 44, 44]	121	100	100.0	inf	160	0	0	0	0	[121.0, 100.0]	R-MAT	100	25	27	gexf	121	1.21	0.5
1152	cut	cap	first	R-MAT.100.25.27.gexf	100	1419	3	2	[44, 44, 44, 44]	121	92	92.0	inf	144	0	0	0	0	[121.0, 92.0]	R-MAT	100	25	27	gexf	121	1.31521739130435	0.5
1153	cut	cap	first	R-MAT.100.25.27.gexf	100	1419	5	3	[44, 44, 44, 44]	121	81	81.0	inf	225	0	0	0	0	[121.0, 81.0]	R-MAT	100	25	27	gexf	121	1.49382716049383	0.5
1154	cut	cap	first	R-MAT.100.25.27.gexf	100	1419	10	4	[44, 44, 44, 44]	121	58	58.0	inf	280	0	0	0	0	[121.0, 58.0]	R-MAT	100	25	27	gexf	119.9	2.06724137931035	0.5
1156	cut	cap	first	R-MAT.100.5.28.gexf	100	415	2	1	[17, 17, 17, 17]	19	15	15.0	inf	1724	0	0	0	0	[19.0, 15.0]	R-MAT	100	5	28	gexf	19	1.26666666666667	0.5
1157	cut	cap	first	R-MAT.100.5.28.gexf	100	415	3	2	[17, 17, 17, 17]	19	14	14.0	inf	2292	0	0	0	0	[19.0, 14.0]	R-MAT	100	5	28	gexf	19	1.35714285714286	0.5
1158	cut	cap	first	R-MAT.100.5.28.gexf	100	415	5	3	[17, 17, 17, 17]	19	12	12.0	inf	2297	0	0	0	0	[19.0, 12.0]	R-MAT	100	5	28	gexf	19	1.58333333333333	0.5
1159	cut	cap	first	R-MAT.100.5.28.gexf	100	415	10	4	[17, 17, 17, 17]	19	7	7.0	inf	2449	0	0	0	0	[19.0, 7.0]	R-MAT	100	5	28	gexf	18.3333333333333	2.61904761904762	0.5
1161	cut	cap	first	R-MAT.100.10.28.gexf	100	725	2	1	[31, 31, 31, 31]	47	38	38.0	inf	589	0	0	0	0	[47.0, 38.0]	R-MAT	100	10	28	gexf	47	1.23684210526316	0.5
1162	cut	cap	first	R-MAT.100.10.28.gexf	100	725	3	2	[31, 31, 31, 31]	47	36	36.0	inf	815	0	0	0	0	[47.0, 36.0]	R-MAT	100	10	28	gexf	47	1.30555555555556	0.5
1163	cut	cap	first	R-MAT.100.10.28.gexf	100	725	5	3	[31, 31, 31, 31]	47	32	32.0	inf	830	0	0	0	0	[47.0, 32.0]	R-MAT	100	10	28	gexf	47	1.46875	0
1164	cut	cap	first	R-MAT.100.10.28.gexf	100	725	10	4	[31, 31, 31, 31]	47	22	23.0	22.0	1062	1	0	0	0	[47.0, 23.0, 22.0]	R-MAT	100	10	28	gexf	45.1	2.05	0
1166	cut	cap	first	R-MAT.100.25.28.gexf	100	1356	2	1	[38, 38, 38, 38]	104	81	81.0	inf	139	0	0	0	0	[104.0, 81.0]	R-MAT	100	25	28	gexf	104	1.28395061728395	0.5
1167	cut	cap	first	R-MAT.100.25.28.gexf	100	1356	3	2	[38, 38, 38, 38]	104	71	71.0	inf	146	0	0	0	0	[104.0, 71.0]	R-MAT	100	25	28	gexf	104	1.46478873239437	0.5
1168	cut	cap	first	R-MAT.100.25.28.gexf	100	1356	5	3	[38, 38, 38, 38]	104	59	59.0	inf	203	0	0	0	0	[104.0, 59.0]	R-MAT	100	25	28	gexf	104	1.76271186440678	0.5
1169	cut	cap	first	R-MAT.100.25.28.gexf	100	1356	10	4	[38, 38, 38, 38]	104	38	38.0	inf	516	0	0	0	0	[104.0, 38.0]	R-MAT	100	25	28	gexf	97.625	2.56907894736842	0.5
1171	cut	cap	first	R-MAT.100.5.29.gexf	100	413	2	1	[15, 15, 15, 15]	22	16	16.0	inf	1008	0	0	0	0	[22.0, 16.0]	R-MAT	100	5	29	gexf	22	1.375	0.5
1172	cut	cap	first	R-MAT.100.5.29.gexf	100	413	3	2	[15, 15, 15, 15]	22	14	14.0	inf	1395	0	0	0	0	[22.0, 14.0]	R-MAT	100	5	29	gexf	22	1.57142857142857	0.5
1173	cut	cap	first	R-MAT.100.5.29.gexf	100	413	5	3	[15, 15, 15, 15]	22	10	11.0	10.0	1641	1	0	0	0	[22.0, 11.0, 10.0]	R-MAT	100	5	29	gexf	22	2.2	0.5
1174	cut	cap	first	R-MAT.100.5.29.gexf	100	413	10	4	[15, 15, 15, 15]	22	6	6.0	inf	2484	0	0	0	0	[22.0, 6.0]	R-MAT	100	5	29	gexf	18.3333333333333	3.05555555555556	0
